Year,Cumulative dh (m)
2003.632695785774,-4.15771218170733
2003.7412371374248,-4.10171321389258
2003.8497784890756,-4.04637305746389
2003.9583198407263,-3.99366814657942
2004.0668611923768,-3.9403044243089
2004.1754025440275,-3.88167021094993
2004.2839438956782,-3.8223771862049
2004.3586541766845,-3.94811604502927
2004.3953045032158,-4.08994872485587
2004.4277259459168,-4.24420470510523
2004.461557016561,-4.42123673612967
2004.5182945412876,-4.61267634472773
2004.6293027418394,-4.65116190986316
2004.7378440934901,-4.59516294204841
2004.8463854451409,-4.54179921977789
2004.9549267967914,-4.48909430889342
2005.063468148442,-4.43309534107868
2005.1720095000928,-4.37709637326392
2005.2805508517436,-4.3118740460444
2005.3580803886368,-4.42434256123536
2005.3978632217093,-4.58066909155518
2005.4342002975866,-4.75148947236823
2005.468031368231,-4.94180753301146
2005.5272357418587,-5.11628274841859
2005.6357770935094,-5.13934114693054
2005.74431844516,-5.08334217911579
2005.8528597968107,-5.0280020226871
2005.9614011484614,-4.97068543210024
2006.0699425001121,-4.91139240735522
2006.1784838517626,-4.85868749647075
2006.2870252034134,-4.79148873509305
2006.400879768082,-4.76964660375535
2006.4679274561645,-4.98810733319817
2006.5337100935285,-5.16239954544249
2006.6422514451792,-5.16239954544249
2006.75079279683,-5.08531861327396
2006.8593341484805,-5.01943747466838
2006.9678755001312,-4.96343850685363
2007.076416851782,-4.89953380240621
2007.1849582034326,-4.83562909795879
2007.2934995550831,-4.76315984549265
2007.3993497988417,-4.77304201628349
2007.4556067685876,-4.98649690536558
2007.4809800715707,-5.17201819167891
2007.5401844451985,-5.32973763750068
2007.648725796849,-5.34225505383574
2007.7572671484997,-5.27242104691382
2007.8658085001505,-5.20983396523852
2007.9743498518012,-5.14527044940504
2008.0828912034517,-5.08531861327396
2008.1914325551024,-5.03656657070583
2008.3068051806333,-5.01771442950484
2008.3665788270841,-5.1495527234144
2008.393009351025,-5.30225579111092
2008.4183826540084,-5.46334458659281
2008.441406577086,-5.67656523162653
2008.4660750660973,-5.91410333693222
2008.4874544232407,-6.12529944411926
2008.530624279011,-6.30634316590521
2008.6255979617051,-6.37593011855737
2008.7341393133559,-6.30873135717966
2008.8426806650066,-6.24482665273225
2008.951222016657,-6.19212174184778
2009.0597633683078,-6.13612277403304
2009.1683047199585,-6.08341786314856
2009.2768460716093,-6.01687791315693
2009.3907006362776,-5.98434276624556
2009.4507589191403,-6.19401582458269
2009.469260285899,-6.39723168670651
2009.4882902631364,-6.57357353437412
2009.55708010678,-6.73952812252159
2009.6616745001888,-6.73234707841358
2009.7702158518396,-6.66317188287771
2009.8787572034903,-6.60717291506297
2009.9872985551408,-6.55249157002033
2010.0958399067915,-6.49715141359163
2010.2043812584423,-6.43917601161872
2010.312922610093,-6.38054179825975
2010.4017291705343,-6.49385735666136
2010.4369698691223,-6.68848906328472
2010.455295032388,-6.89243824522515
2010.480668335371,-7.10777545255312
2010.533952271636,-7.29246851883826
2010.638546665045,-7.32066564616145
2010.7470880166957,-7.25544331894192
